2094801,tueur+5,4629,662282,237,54
1911590,Hawkmoon269,4629,4526280,96,330
849081089,kikidou,15521,427235,273,39
849038422,Aion,4629,1940386,166,152
1400875,Spip,2797,12623610,9,921
677642,boum164,625,6497629,63,481
681046,mongeneral,625,2103457,160,218
849090507,Hydre4654,15188,127556,328,14
848948620,doudoupremier,15486,98625,339,25
849085454,nicoLeVoyageur,15521,279717,294,25
688467,victor+newman,2797,8881855,30,673
195585,philou62,4629,5117864,81,380
238624,den71,5163,754288,229,63
252582,Elyk,6369,285592,292,25
996607,bidouille94,4963,10319907,17,756
402207,rel87,3393,2463506,144,180
848947799,loumos,11887,1132178,210,86
849104356,Support,15676,1566,460,1
2132044,Konstantou,4629,1644769,184,145
1986254,ugis,2797,1147357,206,121
454117,Brochet38000,4629,5091382,84,454
1843936,Ath%C3%A9na450,15644,21603,401,5
3534158,Kenzo139,15039,3866595,112,361
849072951,emy+sterre,15458,606433,243,53
1090555,Dargun,4629,1138358,208,90
849041145,Rancune,13511,968,488,1
849097895,ugufydfydfyff,15642,10055,417,4
1612962,xxhatchepsoutxx,4963,7321696,49,549
1722479,Hugov+Ier,14962,2211958,154,170
849032425,porti,,270989,295,37
848960763,john03140,4629,605131,244,59
848953153,BRUNO44000,2568,90902,342,18
805555,koco57,2547,6634472,59,490
380152,crazyfilou,625,4863229,87,382
2488129,lafteur,12541,9119768,26,674
1919067,Eeth-Koth,2797,4376744,102,393
849080177,Alvilda,,405888,278,31
849044365,Mr.Reese,,5348,428,1
3673902,aurore-rose,15400,669185,233,86
453332,napoleon17,15585,2738570,138,207
3566015,kikoo5937,15639,39881,381,7
1059963,KFAB57,4629,5455999,74,407
419305,belleamour,12645,4533310,94,335
2236124,titi67d,6369,1705146,181,174
3875018,soupepekinois,4629,432161,272,40
931863,isabellacity,6369,641636,240,95
849055850,foufalo,11887,67637,362,7
793147,gaulois99,11887,1291192,195,103
1905875,lauteret,4963,7197897,51,599
4067667,benzoni2015,4963,1780789,177,206
3539110,Boozky,15039,3352298,126,293
849090637,latan3,6369,124476,329,20
53068,politesse,469,7346061,48,542
252312,titeuf42,6369,5113242,82,374
817684,ito31,9741,1726612,179,153
849080252,V20B10,6369,69751,359,11
1942137,Wohjing,4963,7973777,36,585
1001813,florent+u,4629,301752,291,22
849074312,Tupinor,10229,184329,318,19
3349595,THIERRYY,14568,6925680,54,588
849095521,HKator,,162978,319,23
308035,jejebabi,625,7687480,39,561
849100288,yfyfttffyfyfyojjiji,15624,8410,422,4
276734,benanto81,4629,2389292,149,178
3366852,rolando1,11534,4497107,97,333
3365763,stephoss,4629,894964,224,111
2210326,lorieataquante,2568,3182387,131,236
756988,laraindiana,15052,666665,234,73
1264574,fifou17,13387,1167391,204,121
2420960,Heracleus,2568,1888984,172,141
1970472,Drakkar33,2568,13466158,5,983
828539,lenicodu65,625,435207,271,45
849080334,Klargus,4629,367963,283,41
27574,pypo,4963,7711956,37,569
4099390,vincent4611,4629,1056898,213,114
